objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,identifier,source,type,format,language,rights,rightsstatement
1,birikim.pdf,,Buruk Ölümler,Digital Ottoman Studies,2021-04-03,Vefatının ardından Adnan Ekşigil tarafından Birikim dergisinde hakkında yazılanlar.,Vefayat;Adnan Ekşigil,,,,MG-1,Birikim Güncel,Döküman,application/pdf,tr,https://www.acikgazete.com/buruk-olumler/,
2,derintarih.pdf,,Arşive Ruh Veren Tarihçi: Mehmet Genç,Digital Ottoman Studies,2021-04,Vefatının ardından Mustafa Özel tarafından Derin Tarih dergisinde hakkında yazılanlar.,Vefayat;Mustafa Özel,,,,MG-2,Derin Tarih,Döküman,application/pdf,tr,https://www.derintarih.com/,
3,diken.pdf,,"""Hac Yolunda Bir Karınca"": Mehmet Genç",Digital Ottoman Studies,2021-03-19,Vefatının ardından Prof. Dr. Ayhan Aktar tarafından Diken dergisinde hakkında yazılanlar.,Vefayat;Ayhan Aktar,,,,MG-3,Diken,Döküman,application/pdf,tr,http://www.diken.com.tr/hac-yolunda-bir-karinca-mehmet-gencin-ardindan/,
4,gercekhayat.pdf,,İlim Yolunda Bir Karınca,Digital Ottoman Studies,2016-01-18,2016 yılında Ayçe Örer tarafından hazırlanmış portre,Portre;Ayçe Örer,,,,MG-4,Gerçek Hayat,Döküman,application/pdf,tr, http://www.gercekhayat.com.tr/portre/ilim-yolunda-bir-karinca/,
5,kriter.pdf,,İktisat Tarihinde Bir Müctehid: Mehmet Genç,Digital Ottoman Studies,2021-04,Vefatının ardından Asım Öz tarafından Kriter dergisinde hakkında yazılanlar.,Vefayat;Asım Öz,,,,MG-5,Kriter,Döküman,application/pdf,tr,https://kriterdergi.com/iktisat-tarihinde-bir-muctehit-mehmet-genc,
6,msak.pdf,,Mehmet Genç'in Ardından: Osmanlı Nasıl Yükseldi?,Digital Ottoman Studies,2021-03-20,Vefatının ardından İskender Öksüz tarafından MSAK dergisinde hakkında yazılanlar.,Vefayat;İskender Öksüz,,,,MG-6,Milli Strateji Araştırma Kurulu,Döküman,application/pdf,tr,https://millidusunce.com/misak/bir-omrun-adandigi-soru-osmanli-nasil-yukseldi/,
7,star.pdf,,Her Kâğıdın İki Yüzü Vardır,Digital Ottoman Studies,2021-04-16,Vefatının ardından Köln Başkonsolosluğu Eğitim Ataşesi Mustafa Gençer tarafından Star Gazetesi'nde hakkında yazılanlar.,Vefayat;Mustafa Gençer,,,,MG-7,Star Gazetesi,Döküman,application/pdf,tr,https://m.star.com.tr/acik-gorus/her-kagidin-iki-yuzu-vardir-haber-1623708/,
8,ulkuyaz.pdf,,Mehmet Genç Hoca'nın Ardından,Digital Ottoman Studies,2021-03-21,Vefatının ardından Kenan Eroğlu tarafından Ülkücü Yazarlar Derneği web sitesinde hakkında yazılanlar.,Vefayat;Kenan Eroğlu,,,,MG-8,Ülkücü Yazarlar Derneği,Döküman,application/pdf,tr,https://www.ulkuyaz.org.tr/kenan-eroglu-mehmet-genc-hocanin-ardindan/,
9,yenisafak.pdf,,Mehmet Genç Hoca'nın Ardından Bir Akademi Muhasebesi,Digital Ottoman Studies,2021-03-29,Vefatının ardından Yasin Aktay tarafından Yeni Şafak Gazetesi'nde hakkında yazılanlar.,Vefayat;Yasin Aktay,,,,MG-9,Yeni Şafak,Döküman,application/pdf,tr,https://www.yenisafak.com/yazarlar/yasin-aktay/mehmet-genc-hocanin-ardindan-bir-akademi-muhasebesi-2058043,
10,kitapdergisi.pdf,,Osmanlı Dünyasına Bilge Bir Bakış: Mehmet Genç,Digital Ottoman Studies,,Vefatının ardından Kitap Dergisi'nde hakkında yazılanlar.,Vefayat,,,,MG-10,Kitap Dergisi,Döküman,application/pdf,tr,http://www.gundogan.com/kitapdergisi/MAKALE.asp?HABERID=122,
11,gümrük.pdf,,Osmanlı Devletinde İç Gümrük Rejimi,Digital Ottoman Studies,1985,Osmanlı Devletinde İç Gümrük Rejimi,Ansiklopedi Maddesi;İktisat;Ticaret,İstanbul,41.1292562,28.88335172,MG-11,"Tanzimat'tan Cumhuriyet'e Türkiye Ansiklopedisi, İletişim Yayınları, 3: 786-790",Döküman,application/pdf,tr,https://iletisim.com.tr,
12,esham.pdf,,Esham,Digital Ottoman Studies,1995,Esham,Ansiklopedi Maddesi;İktisat;Maliye;Vergi,İstanbul,41.1292562,28.88335172,MG-12,"TDV İslam Ansiklopedisi, 11: 376-380",Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/esham,
13,osmanlı.pdf,,18. Yüzyılda Osmanlı Sanayiinde Değişmeler ve Devletin Rolü,Digital Ottoman Studies,1999,18. Yüzyılda Osmanlı Sanayiinde Değişmeler ve Devletin Rolü,Ansiklopedi Maddesi;İktisat;Sanayii;18.Yy,Ankara,39.9753847,32.75741589,MG-13,"Güler Eren ed. Osmanlı Ansiklopedisi, 3: 263-268",Döküman,application/pdf,tr,https://yeniturkiye.com,
14,iltizam.pdf,,İltizam,Digital Ottoman Studies,2000,İltizam,Ansiklopedi Maddesi;İktisat;Maliye;Vergi,İstanbul,41.1292562,28.88335172,MG-14,"TDV İslam Ansiklopedisi, 22: 154-158",Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/iltizam--vergi,
15,malikane.pdf,,Malikane,Digital Ottoman Studies,2003,Malikane,Ansiklopedi Maddesi;İktisat;Maliye;Vergi,İstanbul,41.1292562,28.88335172,MG-15,"TDV İslam Ansiklopedisi, 27: 516-518",Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/malikane,
16,malikanedivani.pdf,,Malikane Divani,Digital Ottoman Studies,2003,Malikane Divani,Ansiklopedi Maddesi;İktisat;Maliye;Vergi,Ankara,39.9753847,32.75741589,MG-16,"TDV İslam Ansiklopedisi, 27: 518-519",Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/malikane-divani,
17,nazır.pdf,,Nazır,Digital Ottoman Studies,2006,Nazır,Ansiklopedi Maddesi;Devlet;Bürokrasi;Yönetim,İstanbul,41.1292562,28.88335172,MG-17,"TDV İslam Ansiklopedisi, 32: 449-450",Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/nazir#2-osmanlilarda,
18,mukataa.pdf,,Mukataa,Digital Ottoman Studies,2006,Mukataa,Ansiklopedi Maddesi;İktisat;Maliye;Vergi,İstanbul,41.1292562,28.88335172,MG-18,"TDV İslam Ansiklopedisi, 31: 129-132",Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/mukataa,
19,osmanlılar.pdf,,Osmanlılar: İktisadî ve Ticarî Yapı,Digital Ottoman Studies,2007,Osmanlılar: İktisadî ve Ticarî Yapı,Ansiklopedi Maddesi;İktisat;Ticaret,İstanbul,41.1292562,28.88335172,MG-19,"TDV İslam Ansiklopedisi, 33: 525-532",Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/osmanlilar#9-iktisadi-ve-ticari-yapi-normal,
20,yedivahid.pdf,,Yed-i Vahid,Digital Ottoman Studies,2013,Yed-i Vahid,Ansiklopedi Maddesi;İktisat;Maliye;Vergi,İstanbul,41.1292562,28.88335172,MG-20,"TDV İslam Ansiklopedisi, 43: 378-383",Döküman,application/pdf,tr,https://islamansiklopedisi.org.tr/yed-i-vahid,
21,encyclopaedia.pdf,,Economy and Economic Policy,Digital Ottoman Studies,2009,Economy and Economic Policy,Ansiklopedi Maddesi;İktisat;İktisadi Politika,New York,40.71973899,-73.98783181,MG-21,"Gabor Agoston and Bruce Master ed. Encyclopaedia of the Ottoman Empire, Facts on File 192-195",Döküman,application/pdf,eng,https://www.academia.edu/7915303/_Economy_and_economic_policy_in_Encyclopaedia_of_the_Ottoman_Empire,
